2026-05-30 14:08:59 | INFO     | codecompanion.http | ← GET /api/questions 200 8.9ms [dc8393d8]
2026-05-30 14:08:59 | INFO     | codecompanion.http | ← GET /api/grades 200 41.0ms [9a9bd540]
2026-05-30 14:08:59 | INFO     | codecompanion.http | → GET /api/classes [ff95734e]
2026-05-30 14:08:59 | INFO     | codecompanion.http | → GET /api/users [706118de]
2026-05-30 14:08:59 | INFO     | codecompanion.http | → GET /api/questions [fdfb8a89]
2026-05-30 14:08:59 | INFO     | codecompanion.http | → GET /api/grades [780d6825]
2026-05-30 14:08:59 | INFO     | codecompanion.http | ← GET /api/classes 200 10.2ms [ff95734e]
2026-05-30 14:08:59 | INFO     | codecompanion.http | ← GET /api/users 200 9.8ms [706118de]
2026-05-30 14:08:59 | INFO     | codecompanion.http | ← GET /api/questions 200 12.6ms [fdfb8a89]
2026-05-30 14:08:59 | INFO     | codecompanion.http | ← GET /api/grades 200 34.7ms [780d6825]
2026-05-30 14:09:00 | INFO     | codecompanion.http | → PUT /api/questions [8793b9c2]
2026-05-30 14:09:00 | INFO     | codecompanion.http | ← PUT /api/questions 405 1.1ms [8793b9c2]
2026-05-30 14:19:24 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:19:24 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:19:24 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:19:24 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:19:24 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:19:24 | INFO     | codecompanion.websocket | WebSocket disconnected: admin
2026-05-30 14:19:24 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:19:26 | INFO     | codecompanion.main | 前端 SPA 模式已启用（dist 目录）
2026-05-30 14:19:26 | INFO     | codecompanion.main | 数据库已初始化
2026-05-30 14:19:26 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-30 14:19:30 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:19:30 | INFO     | codecompanion.websocket | WebSocket connected: admin
2026-05-30 14:19:30 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:19:30 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:19:30 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:19:30 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:19:30 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:20:06 | INFO     | codecompanion.http | → GET /api/grades [70f6fcd7]
2026-05-30 14:20:06 | INFO     | codecompanion.http | ← GET /api/grades 200 34.3ms [70f6fcd7]
2026-05-30 14:20:06 | INFO     | codecompanion.http | → GET /api/questions [5a400251]
2026-05-30 14:20:06 | INFO     | codecompanion.http | ← GET /api/questions 200 5.1ms [5a400251]
2026-05-30 14:20:12 | INFO     | codecompanion.http | → GET /api/questions [80b7e0e8]
2026-05-30 14:20:12 | INFO     | codecompanion.http | → GET /api/grades [8f0c9659]
2026-05-30 14:20:12 | INFO     | codecompanion.http | ← GET /api/questions 200 5.8ms [80b7e0e8]
2026-05-30 14:20:12 | INFO     | codecompanion.http | ← GET /api/grades 200 23.9ms [8f0c9659]
2026-05-30 14:20:43 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:20:43 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:20:43 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:20:43 | INFO     | codecompanion.websocket | WebSocket disconnected: admin
2026-05-30 14:20:43 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:20:43 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:20:43 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:20:47 | INFO     | codecompanion.main | 前端 SPA 模式已启用（dist 目录）
2026-05-30 14:20:49 | INFO     | codecompanion.main | 前端 SPA 模式已启用（dist 目录）
2026-05-30 14:20:49 | INFO     | codecompanion.main | 数据库已初始化
2026-05-30 14:20:49 | INFO     | codecompanion.main | 缓存系统已初始化
2026-05-30 14:20:54 | INFO     | codecompanion.websocket | WebSocket connected: admin
2026-05-30 14:20:54 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:20:54 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:20:54 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:20:54 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:20:54 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:20:54 | INFO     | codecompanion.websocket | WebSocket connected: 2024001
2026-05-30 14:21:07 | INFO     | codecompanion.websocket | WebSocket disconnected: admin
2026-05-30 14:21:07 | INFO     | codecompanion.http | → GET /api/me [7015d689]
2026-05-30 14:21:07 | INFO     | codecompanion.websocket | WebSocket connected: admin
2026-05-30 14:21:07 | INFO     | codecompanion.http | ← GET /api/me 200 26.6ms [7015d689]
2026-05-30 14:21:07 | INFO     | codecompanion.http | → POST /api/errors/report [c001ca62]
2026-05-30 14:21:07 | INFO     | codecompanion.http | ← POST /api/errors/report 200 40.2ms [c001ca62]
2026-05-30 14:21:07 | INFO     | codecompanion.http | → GET /api/classes [5cecf499]
2026-05-30 14:21:07 | INFO     | codecompanion.http | → GET /api/questions [853f6b24]
2026-05-30 14:21:07 | INFO     | codecompanion.http | → GET /api/grades [f51bf46f]
2026-05-30 14:21:07 | INFO     | codecompanion.http | → GET /api/users [23df9f5b]
2026-05-30 14:21:07 | INFO     | codecompanion.http | ← GET /api/classes 200 44.5ms [5cecf499]
2026-05-30 14:21:07 | INFO     | codecompanion.http | ← GET /api/questions 200 44.9ms [853f6b24]
2026-05-30 14:21:07 | INFO     | codecompanion.http | ← GET /api/grades 200 45.1ms [f51bf46f]
2026-05-30 14:21:07 | INFO     | codecompanion.http | ← GET /api/users 200 45.3ms [23df9f5b]
2026-05-30 14:21:16 | INFO     | codecompanion.websocket | WebSocket disconnected: admin
2026-05-30 14:21:16 | INFO     | codecompanion.websocket | WebSocket connected: admin
2026-05-30 14:21:16 | INFO     | codecompanion.http | → GET /api/me [1d886e82]
2026-05-30 14:21:16 | INFO     | codecompanion.http | ← GET /api/me 200 6.5ms [1d886e82]
2026-05-30 14:21:16 | INFO     | codecompanion.http | → GET /api/classes [ce93b225]
2026-05-30 14:21:16 | INFO     | codecompanion.http | → GET /api/questions [ba0ca300]
2026-05-30 14:21:16 | INFO     | codecompanion.http | → GET /api/users [be2d7738]
2026-05-30 14:21:16 | INFO     | codecompanion.http | → GET /api/grades [0c4438cc]
2026-05-30 14:21:16 | INFO     | codecompanion.http | ← GET /api/classes 200 59.6ms [ce93b225]
2026-05-30 14:21:16 | INFO     | codecompanion.http | ← GET /api/questions 200 59.5ms [ba0ca300]
2026-05-30 14:21:16 | INFO     | codecompanion.http | ← GET /api/users 200 63.7ms [be2d7738]
2026-05-30 14:21:16 | INFO     | codecompanion.http | ← GET /api/grades 200 68.7ms [0c4438cc]
2026-05-30 14:21:16 | INFO     | codecompanion.http | → POST /api/errors/report [1254695f]
2026-05-30 14:21:16 | INFO     | codecompanion.http | ← POST /api/errors/report 200 32.9ms [1254695f]
2026-05-30 14:21:48 | INFO     | codecompanion.websocket | WebSocket disconnected: admin
2026-05-30 14:21:48 | INFO     | codecompanion.http | → GET /api/me [0776d661]
2026-05-30 14:21:48 | INFO     | codecompanion.websocket | WebSocket connected: admin
2026-05-30 14:21:48 | INFO     | codecompanion.http | ← GET /api/me 200 9.2ms [0776d661]
2026-05-30 14:21:48 | INFO     | codecompanion.http | → GET /api/classes [da12a843]
2026-05-30 14:21:48 | INFO     | codecompanion.http | → GET /api/users [7d188d7a]
2026-05-30 14:21:48 | INFO     | codecompanion.http | → GET /api/questions [2a99fd41]
2026-05-30 14:21:48 | INFO     | codecompanion.http | → GET /api/grades [1de3e696]
2026-05-30 14:21:48 | INFO     | codecompanion.http | ← GET /api/classes 200 7.3ms [da12a843]
2026-05-30 14:21:48 | INFO     | codecompanion.http | ← GET /api/users 200 10.6ms [7d188d7a]
2026-05-30 14:21:48 | INFO     | codecompanion.http | ← GET /api/questions 200 11.2ms [2a99fd41]
2026-05-30 14:21:48 | INFO     | codecompanion.http | ← GET /api/grades 200 32.3ms [1de3e696]
2026-05-30 14:21:48 | INFO     | codecompanion.http | → POST /api/errors/report [81446e76]
2026-05-30 14:21:48 | INFO     | codecompanion.http | ← POST /api/errors/report 200 8.5ms [81446e76]
2026-05-30 14:22:03 | INFO     | codecompanion.websocket | WebSocket disconnected: admin
2026-05-30 14:22:03 | INFO     | codecompanion.http | → GET /api/me [5581403b]
2026-05-30 14:22:03 | INFO     | codecompanion.http | ← GET /api/me 200 11.4ms [5581403b]
2026-05-30 14:22:03 | INFO     | codecompanion.websocket | WebSocket connected: admin
2026-05-30 14:22:03 | INFO     | codecompanion.http | → GET /api/classes [be0361ab]
2026-05-30 14:22:03 | INFO     | codecompanion.http | → GET /api/users [5ecce168]
2026-05-30 14:22:03 | INFO     | codecompanion.http | → GET /api/questions [2c94eac8]
2026-05-30 14:22:03 | INFO     | codecompanion.http | → GET /api/grades [c240beb6]
2026-05-30 14:22:03 | INFO     | codecompanion.http | → POST /api/errors/report [e8563e2b]
2026-05-30 14:22:03 | INFO     | codecompanion.http | ← GET /api/classes 200 40.9ms [be0361ab]
2026-05-30 14:22:03 | INFO     | codecompanion.http | ← GET /api/users 200 40.5ms [5ecce168]
2026-05-30 14:22:03 | INFO     | codecompanion.http | ← GET /api/questions 200 39.5ms [2c94eac8]
2026-05-30 14:22:03 | INFO     | codecompanion.http | ← GET /api/grades 200 36.6ms [c240beb6]
2026-05-30 14:22:03 | INFO     | codecompanion.http | ← POST /api/errors/report 200 50.5ms [e8563e2b]
2026-05-30 14:22:09 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:22:09 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:22:09 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:22:09 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
2026-05-30 14:22:09 | INFO     | codecompanion.websocket | WebSocket disconnected: 2024001
